time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.3264,-0.1308,-0.3435,0.492
0.010000,-0.3324,-0.0526,-0.3403,0.479
0.020000,-0.2913,0.0742,-0.5435,0.621
0.036000,-0.2026,0.1826,-0.6821,0.735
0.060000,-0.1644,0.1572,-0.6161,0.657
0.082000,-0.1507,0.1402,-0.4211,0.469
0.096000,-0.1526,0.1092,-0.3187,0.370
0.110000,-0.1635,0.0568,-0.1125,0.206
0.119000,-0.1840,0.0115,0.1606,0.245
0.130000,-0.1366,0.1129,0.0910,0.199
0.150000,-0.0838,0.1556,0.0092,0.177
0.166000,-0.0692,0.1875,-0.1381,0.243
0.178000,-0.0909,0.2293,-0.1465,0.287
0.197000,-0.1513,0.2126,-0.1066,0.282
0.198000,-0.1836,0.1474,0.0485,0.240
0.209000,-0.0998,0.0813,0.1470,0.195
0.220000,-0.0582,0.0446,0.1652,0.181
0.229000,-0.0531,0.0455,0.1502,0.166
0.242000,-0.0481,0.0458,0.1367,0.152
0.262000,-0.0418,0.0356,0.0282,0.062
0.279000,-0.0468,0.0724,-0.1051,0.136
0.290000,-0.1158,0.0813,-0.2598,0.296
0.308000,-0.1360,0.0706,-0.3361,0.369
0.323000,-0.1574,0.0410,-0.3562,0.392
0.332000,-0.1886,0.0426,-0.3224,0.376
0.348000,-0.2303,0.0461,-0.2941,0.376
0.362000,-0.2427,0.0495,-0.3833,0.456
0.381000,-0.2563,0.0440,-0.3876,0.467
0.394000,-0.2687,0.0275,-0.3485,0.441
0.408000,-0.2657,0.0422,-0.3166,0.415
0.422000,-0.3201,0.0758,-0.2815,0.433
0.429000,-0.3277,0.1092,-0.3258,0.475
0.438000,-0.2437,0.0919,-0.3735,0.455
0.446000,-0.1936,0.0955,-0.3386,0.402
0.462000,-0.2802,0.1423,-0.2898,0.427
0.478000,-0.3320,0.1285,-0.2722,0.448
0.491000,-0.3462,0.1379,-0.2401,0.443
0.508000,-0.3408,0.1279,-0.2373,0.435
0.523000,-0.2847,0.1127,-0.2056,0.369
0.527000,-0.2033,0.1184,-0.1788,0.295
0.554000,-0.2593,0.1239,-0.2090,0.355
0.562000,-0.2616,0.1312,-0.1876,0.348
0.580000,-0.2629,0.1323,-0.1883,0.349
0.597000,-0.2406,0.1516,-0.1834,0.338
0.606000,-0.1895,0.1087,-0.1661,0.274
0.617000,-0.1883,0.1251,-0.2479,0.336
0.631000,-0.1592,0.0926,-0.2031,0.274
0.641000,-0.1462,0.0925,-0.1772,0.248
0.650000,-0.1727,0.0696,-0.1791,0.258
0.666000,-0.2008,0.0711,-0.1763,0.277
0.682000,-0.2150,0.0848,-0.2393,0.333
0.696000,-0.2266,0.0835,-0.2953,0.381
0.716000,-0.2272,0.1012,-0.4081,0.478
0.727000,-0.0739,0.0629,-0.3630,0.376
0.732000,-0.0195,0.0106,-0.2250,0.226
0.744000,-0.0057,-0.0259,-0.1225,0.125
0.762000,0.1218,-0.0351,-0.1481,0.195
0.777000,0.1276,-0.0462,-0.1308,0.188
0.788000,0.0789,-0.0414,-0.0986,0.133
0.800000,0.0380,-0.0196,-0.0483,0.065
0.816000,0.0120,-0.0105,0.0093,0.018
0.831000,-0.0724,-0.0162,0.0183,0.076
0.848000,-0.0835,0.0234,0.0165,0.088
0.858000,-0.0939,0.0412,-0.0392,0.110
0.870000,-0.1135,0.0945,-0.0479,0.155
0.890000,-0.1147,0.1381,-0.0768,0.195
0.898000,-0.1286,0.1643,-0.0813,0.224
0.920000,-0.1088,0.1962,-0.0494,0.230
